OBJECTID,SPECIES_CD_1,PROJ_AGE_1,PROJ_HEIGHT_1,LIVE_VOL_PER_HA_SPP1_125
2155,SS,4,0.4,0
2156,YC,287,14.1000004,47.32
2157,CW,347,22.1000004,63.043
2158,SS,157,22.7000008,130.951
2159,CW,332,20.1000004,87.389
2160,CW,332,20.1000004,78.077
2161,CW,237,16.2000008,68.319
2162,HW,18,8.6999998,5.47
2163,HW,267,30.2999992,303.288
2164,CW,197,10.1000004,0
2165,CW,257,19.2000008,97.644
2166,YC,227,13.1000004,15.38
2167,YC,407,18.1000004,99.255
2168,SS,5,0.6,0
2169,HW,28,10.8999996,19.148
2170,CW,267,17.1000004,73.887
2171,CW,307,17.1000004,70.255
2172,CW,357,19.1000004,79.598
2173,CW,227,16.2000008,68.884
2174,CW,167,5.0999999,0
2175,CW,257,18.2000008,131.239
2176,PLC,117,2,0
2177,CW,227,16.2000008,50.463
2178,CW,277,28.2999992,162.235
2179,CW,267,15.1000004,45.203
2180,HW,257,26.2999992,221.929
2181,HW,307,35.2999992,445.151
2182,HW,297,29.2000008,327.997
2183,CW,307,21.1000004,91.014
2184,HW,18,8.6999998,5.916
2185,CW,263,22.1000004,145.896
2186,CW,277,20.2000008,114.028
2187,HW,287,34.2999992,426.24
2188,CW,257,21.2000008,117.313
2189,HW,33,13.1999998,47.212
2190,HW,287,32.2999992,385.327
2191,CW,357,19.1000004,80.199
2192,CW,332,22.1000004,91.424
2193,HW,287,30.2000008,362.379
2194,HW,367,41.2000008,543.595
2195,CW,332,23.1000004,90.513
2196,HW,282,23.2000008,156.391
2197,CW,192,19.2000008,84.081
2198,CW,257,26.2999992,178.518
2199,CW,307,23.2000008,100.501
2200,CW,357,28.1000004,155.224
2201,PLC,117,2,0
2202,CW,163,33.2999992,207.73
2203,SS,278,41.0999985,571.323
2204,CW,277,26.2000008,166.798
2205,HW,3,0.3,0
2206,HW,307,34.2000008,393.18
2207,HW,277,23.2000008,131.22
2208,HW,227,25.2999992,183.176
2209,HW,307,35.2999992,571.259
2210,SS,282,35.4000015,366.955
2211,HW,17,5.4000001,0
2212,CW,287,18.1000004,79.773
2213,YC,327,14.1000004,58.525
2214,CW,267,20.2000008,101.668
2215,CW,307,35.2000008,220.81
2216,CW,227,17.2000008,83.267
2217,HW,237,15.1999998,66.373
2218,HW,387,41.2000008,470.041
2219,HW,12,2.9000001,0
2220,YC,267,14.1000004,66.187
2221,HW,37,21.1000004,147.182
2222,HW,35,16.6000004,99.003
2223,CW,247,15.1999998,55.141
2224,HW,357,37.2000008,349.308
2225,CW,217,15.1999998,70.002
2226,CW,267,25.2000008,186.586
2227,YC,357,18.1000004,91.832
2228,CW,307,30.2000008,291.411
2229,CW,332,19.1000004,81.204
2230,HW,277,32.2999992,387.499
2231,CW,237,14.1999998,51.64
2232,HW,227,21.2999992,123.785
2233,CW,307,21.1000004,90.922
2234,CW,267,24.2000008,159.371
2235,CW,267,19.2000008,74.414
2236,YC,277,14,48.305
2237,SS,299,29.8999996,588.833
2238,PLC,107,2,0
2239,CW,327,16.1000004,51.202
2240,HW,297,34.2999992,281.19
2241,HW,17,5.9000001,0
2242,HW,307,34.2000008,386.471
2243,CW,297,19.1000004,76.881
2244,SS,213,34.2000008,509.835
2245,CW,257,16.1000004,97.307
2246,HW,25,9.3999996,15.556
2247,PLC,13,2.5,0
2248,CW,332,23.1000004,109.017
2249,CW,332,31.2000008,225.024
2250,CW,267,19.2000008,111.45
2251,CW,227,15.1999998,50.37
2252,CW,197,12.1000004,0
2253,HW,307,23.2000008,189.082
2254,HW,247,19.2000008,61.531
2255,HW,327,38.2000008,366.302
2256,CW,247,18.2000008,87.834
2257,CW,34,8.6000004,5.867
2258,CW,257,17.2000008,90.932
2259,HW,263,30.1000004,345.244
2260,CW,307,24.2000008,135.739
2261,CW,117,3.0999999,0
2262,HW,327,30.2000008,293.328
2263,CW,287,19.1000004,124.991
2264,HW,9,2,0
2265,CW,257,11.1000004,0.256
2266,HW,187,20.3999996,175.204
2267,CW,267,18.2000008,66.412
2268,CW,257,27.2999992,195.524
2269,HW,187,20.3999996,175.512
2270,HW,207,24.3999996,214.428
2271,YC,349,14.3999996,72.676
2272,CW,347,33.2000008,251.905
2273,HW,277,23.2000008,217.227
2274,CW,167,8.1000004,0
2275,CW,247,7.0999999,0
2276,CW,332,11.1000004,8.09
2277,CW,267,18.2000008,61.825
2278,HW,247,26.2999992,255.092
2279,HW,357,37.2000008,351.586
2280,HW,227,21.2999992,171.873
2281,HW,257,23.2000008,173.898
2282,HW,187,22.3999996,244.513
2283,CW,273,20.1000004,106.295
2284,CW,263,20.1000004,116.959
2285,CW,332,18.1000004,51.612
2286,HW,357,36.2000008,281.906
2287,HW,377,35.2000008,375.083
2288,HW,227,26.2999992,229.93
2289,HW,287,19.2000008,113.072
2290,CW,267,16.2000008,11.025
2291,HW,297,32.2000008,399.412
2292,HW,20,5.6999998,0
2293,CW,307,32.2000008,245.692
2294,HW,367,42.2000008,481.925
2295,CW,237,15.1999998,74.854
2296,HW,327,36.2000008,386.376
2297,HW,97,15.8000002,65.722
2298,CW,257,17.2000008,84.413
2299,HW,257,32.2999992,355.912
2300,CW,307,29.2000008,259.112
2301,YC,347,14.1000004,36.582
2302,CW,282,24.2000008,145.333
2303,CW,207,10.1000004,0
2304,CW,307,32.2000008,170.29
2305,CW,332,20.1000004,87.389
2306,CW,307,31.2000008,191.398
2307,HW,257,19.2000008,55.806
2308,HW,387,37.2000008,463.2
2309,HW,12,3,0
2310,HW,287,21.2000008,91.232
2311,HW,277,27.2000008,224.451
2312,CW,227,16.2000008,67.314
2313,HW,13,2.8,0
2314,CW,277,33.2999992,262.916
2315,PLC,147,3.0999999,0
2316,CW,207,13.1000004,33.532
2317,CW,307,18.1000004,65.353
2318,HW,267,32.2999992,389.96
2319,CW,357,30.2000008,152.004
2320,HW,19,5.8000002,0
2321,PLC,107,5.3000002,0
2322,HW,17,5.4000001,0
2323,HW,21,7.0999999,0
2324,PLC,127,4.1999998,0
2325,YC,127,4.0999999,0
2326,PLC,147,3.0999999,0
2327,CW,167,8.1000004,14.741
2328,HW,287,32.2999992,361.81
2329,CW,267,18.2000008,79.582
2330,CW,287,23.2000008,75.28
2331,CW,307,16.1000004,6.976
2332,CW,307,18.1000004,50.947
2333,CW,227,20.2000008,106.718
2334,CW,307,13.1000004,31.12
2335,CW,227,19.2000008,131.424
2336,HW,77,5.3000002,0
2337,CW,277,28.2999992,169.553
2338,YC,307,16.1000004,65.568
2339,HW,247,23.2999992,161.37
2340,CW,357,20.1000004,72.824
2341,HW,307,33.2000008,368.965
2342,CW,357,20.1000004,110.202
2343,CW,307,28.2000008,284.777
2344,HW,277,31.2999992,350.215
2345,CW,297,20.1000004,104.002
2346,CW,247,23.2000008,139.414
2347,HW,267,30.2999992,219.458
2348,SS,10,1.8,0
2349,HW,327,35.2000008,385.595
2350,HW,167,16.3999996,73.167
2351,CW,207,13.1000004,50.05
